,Availability,Categories,Featured,Filter Shop,Filterplayers,Game Character,Game Discription,Game Title,Game url,General Filters,No of Players,Object ID,Virtual Console,free to start,slug
0,'Coming soon','Simulation',True,'At retail',,'Animal Crossing',"If the hustle and bustle of modern life’s got you down, Tom Nook has a new business venture up his sleeve that he knows you’ll adore: the Nook Inc. Deserted Island Getaway Package! Sure, you’ve crossed paths with colorful characters near and far. Had a grand time as one of the city folk. May’ve even turned over a new leaf and dedicated yourself to public service! But deep down, isn’t there a part of you that longs for…freedom? Then perhaps a long walk on the beach of a deserted island, where a rich wealth of untouched nature awaits, is just what the doctor ordered!
Peaceful creativity and charm await as you roll up your sleeves and make your new life whatever you want it to be. Collect resources and craft everything from creature comforts to handy tools. Embrace your green thumb as you interact with flowers and trees in new ways. Set up a homestead where the rules of what goes indoors and out no longer apply. Make friends with new arrivals, enjoy the seasons, pole-vault across rivers as you explore, and more!
This new addition to the&nbsp;Animal Crossing&nbsp;series launches March 20, 2020, exclusively for the Nintendo Switch system.
Features

Customize your character and home, and decorate the landscape (with furniture, if you like!), as you create your very own island paradise.
Experience a robust new crafting system—collect materials to construct everything from furniture to tools!
Enjoy a variety of relaxing activities like gardening, fishing, decorating, interacting with charming NPCs, and more, as classic&nbsp;Animal Crossing&nbsp;experiences come to life in fun new ways within the deserted-island setting.",Animal Crossing: New Horizons,/games/detail/animal-crossing-new-horizons-switch,,To be determined,d5414092-e1f0-31ee-80b9-0a2a13ff3a4e,na,False,animal-crossing-new-horizons-switch
1,"'Pre-purchase', 'Coming soon'",'Role-Playing',True,'At retail',,,"The worlds of the Fire Emblem™ series and Atlus games have crossed paths again and the result is coming to the Nintendo Switch™ system. An interdimensional evil has invaded modern-day Tokyo, resulting in this fantastical barrage of music, style, and yes, danger. So, fight back! Battle through dungeons to pump up your strategy and creatively decimate your foes…before all hope fades to black.
You and the rising stars you call friends will need to call on your own creative power—manifested as iconic Fire Emblem characters—to wage a secret war on rogue spirits that feed on creativity. Each encounter will immerse you in deep, turn-based battles that blend the combat of the Fire Emblem and Shin Megami Tensei series into one brutal harmony. Fuse items to craft weaponry; then play to your strengths and crush your foes. Around every corner you’ll find fun nods to multiple fandoms, including Fire Emblem references, dungeons themed to the entertainment industry, and stunning musical performances.&nbsp;",Tokyo Mirage Sessions™ #FE Encore,/games/detail/tokyo-mirage-sessions-fe-encore-switch,'Nintendo Switch Game Voucher',1 player,846084ed-a1f8-338e-805f-560b0a080395,na,False,tokyo-mirage-sessions-fe-encore-switch
2,'Coming soon',"'Role-Playing', 'Adventure'",True,'At retail',"'3+', '2+', '1+'",'Pokémon',"For a limited time, players of the digital version of either game can receive an in-game present of 12 Quick Balls.** If you purchase and download the digital version of either&nbsp;Pokémon Sword&nbsp;or&nbsp;Pokémon Shield&nbsp;from Nintendo eShop by January 15th, 2020, you can receive a code redeemable for 12 Quick Balls!
Quick Balls are special Poké Balls that are more likely to catch Pokémon if you use them as soon as a battle begins.
Codes will be distributed between November 15, 2019 and January 15, 2020, and expire on November 30, 2020.
Begin your adventure as a Pokémon Trainer by choosing one of three new partner Pokémon: Grookey, Scorbunny, or Sobble. Then embark on a journey in the new Galar region, where you’ll challenge the troublemakers of Team Yell, while unraveling the mystery behind the Legendary Pokémon Zacian and Zamazenta! Explore the Wild Area, a vast expanse of land where the player can freely control the camera. Team up with three other players locally or online in the new multiplayer co-op Max Raid Battles* in which players will face off against gigantic and super-strong Pokémon known as Dynamax Pokémon.
Certain Pokémon can even Gigantamax to gain a new look and a powerful set of G-Max moves. But there’s more to being a champion than honing your battle skills: you can pick your own clothes and get a new hairdo while visiting the stores in town, so you can be the trainer you want to be. Throughout your journey, you’ll encounter newly discovered Pokémon as well as familiar ones that will look a little different in their new Galarian forms! For another way to level up your Pokémon, assign them Poké Jobs to complete, and for fun, you can even play with your Pokémon in Pokémon Camp!


Catch, battle, and trade Pokémon on a new adventure in the Galar region
Choose from three new partner Pokémon and encounter never-before-seen Pokémon
Unravel the mystery behind the Legendary Pokémon Zacian and Zamazenta!
Players can control the camera in the vast Wild Area
Team up with other Trainers to participate in Max Raid Battles*!
Battle wild Dynamax Pokémon in Max Raid Battles* and try catching them!",Pokémon Shield,/games/detail/pokemon-shield-switch,,up to 4 players,b7995f41-31fb-3947-b128-4b322f0b07d0,na,False,pokemon-shield-switch
3,'Coming soon',"'Adventure', 'Role-Playing'",True,'At retail',"'3+', '2+', '1+'",'Pokémon',"If you purchase the Pokémon™ Sword and Pokémon™ Shield Double Pack bundle, then you can receive two codes that will reward you with special items known as Dynamax Crystals!&nbsp;
As a special bonus for purchasing the Pokémon Sword and Pokémon Shield Double Pack, you’ll receive two codes (one per game) that will each reward you a special item known as a Dynamax Crystal*.
By using the Dynamax Crystals received via these codes, you’ll be able to face Dynamax Larvitar and Dynamax Jangmo-o in special Max Raid Battles**. These Pokémon normally can’t be encountered until later in the game!
Max Raid Battles are battles in which you can recruit up to three players* via local communication or the internet to face down powerful Dynamax Pokémon!
Every participant will get a chance to catch the Pokémon if you triumph in the battle! Additionally, with Dynamax Crystals, you’ll be able to attempt these Max Raid Battles as many times as it takes to win or until midnight on the day that the Dynamax Crystal was used, whichever comes first.*
A new generation of Pokémon is coming to the Nintendo Switch™ system.&nbsp;Begin your adventure as a Pokémon Trainer by choosing one of three new partner Pokémon: Grookey, Scorbunny, or Sobble. Then embark on a journey in the new Galar region, where you’ll challenge the troublemakers of Team Yell, while unraveling the mystery behind the Legendary Pokémon Zacian and Zamazenta! Explore the Wild Area, a vast expanse of land where the player can freely control the camera. Team up with three other players locally or online in the new multiplayer co-op Max Raid Battles* in which players will face off against gigantic and super-strong Pokémon known as Dynamax Pokémon.
Certain Pokémon can even Gigantamax to gain a new look and a powerful set of G-Max moves. But there’s more to being a champion than honing your battle skills: you can pick your own clothes and get a new hairdo while visiting the stores in town, so you can be the trainer you want to be. Throughout your journey, you’ll encounter newly discovered Pokémon as well as familiar ones that will look a little different in their new Galarian forms! For another way to level up your Pokémon, assign them Poké Jobs to complete, and for fun, you can even play with your Pokémon in Pokémon Camp!&nbsp;&nbsp;


Catch, battle, and trade Pokémon on a new adventure in the Galar region
Choose from three new partner Pokémon and encounter never-before-seen Pokémon
Unravel the mystery behind the Legendary Pokémon Zacian and Zamazenta!
Players can control the camera in the vast Wild Area
Team up with other Trainers to participate in Max Raid Battles**!
Battle wild Dynamax Pokémon in Max Raid Battles** and try catching them!",Pokémon Sword & Pokémon Shield Double Pack,/games/detail/pokemon-sword-and-pokemon-shield-double-pack-switch,,up to 4 players,9d0f385c-06a6-3a0e-b91e-1441422b0ee3,na,False,pokemon-sword-and-pokemon-shield-double-pack-switch
4,'Coming soon',"'Role-Playing', 'Adventure'",True,'At retail',"'3+', '2+', '1+'",'Pokémon',"For a limited time, players of the digital version of either game can receive an in-game present of 12 Quick Balls.** If you purchase and download the digital version of either Pokémon Sword or Pokémon Shield from Nintendo eShop by January 15th, 2020, you can receive a code redeemable for 12 Quick Balls!
Quick Balls are special Poké Balls that are more likely to catch Pokémon if you use them as soon as a battle begins.
Codes will be distributed between November 15, 2019 and January 15, 2020, and expire on November 30, 2020.
Begin your adventure as a Pokémon Trainer by choosing one of three new partner Pokémon: Grookey, Scorbunny, or Sobble. Then embark on a journey in the new Galar region, where you’ll challenge the troublemakers of Team Yell, while unraveling the mystery behind the Legendary Pokémon Zacian and Zamazenta! Explore the Wild Area, a vast expanse of land where the player can freely control the camera. Team up with three other players locally or online in the new multiplayer co-op Max Raid Battles* in which players will face off against gigantic and super-strong Pokémon known as Dynamax Pokémon.
Certain Pokémon can even Gigantamax to gain a new look and a powerful set of G-Max moves. But there’s more to being a champion than honing your battle skills: you can pick your own clothes and get a new hairdo while visiting the stores in town, so you can be the trainer you want to be. Throughout your journey, you’ll encounter newly discovered Pokémon as well as familiar ones that will look a little different in their new Galarian forms! For another way to level up your Pokémon, assign them Poké Jobs to complete, and for fun, you can even play with your Pokémon in Pokémon Camp!


Catch, battle, and trade Pokémon on a new adventure in the Galar region
Choose from three new partner Pokémon and encounter never-before-seen Pokémon
Unravel the mystery behind the Legendary Pokémon Zacian and Zamazenta!
Players can control the camera in the vast Wild Area
Team up with other Trainers to participate in Max Raid Battles*!
Battle wild Dynamax Pokémon in Max Raid Battles* and try catching them!",Pokémon Sword,/games/detail/pokemon-sword-switch,'DLC available',up to 4 players,4cefd8b9-b98a-301f-8e88-abe6e1a54e26,na,False,pokemon-sword-switch
5,'Coming soon','Adventure',True,'At retail',,,"&quot;LAYTON’S MYSTERY JOURNEY™: Katrielle and the Millionaires’ Conspiracy&quot; revamped as &quot;Deluxe Edition&quot; with multiple improved features!
&nbsp;
＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝

Enhanced puzzle-solving adventure experience with the Deluxe Edition!
＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
■NEW PUZZLES: This Deluxe Edition includes more than 40 brand-new puzzles and additionally, some refined puzzles from the Nintendo 3DS version.

■Unlocked DLC: Content that was previously released as paid DLC, including the “Daddy’s Girl” and “Luke Lookalike” outfits, are unlocked.&nbsp;

■New Outfits: More than 50 new outfits have been added, all of which can be obtained through gameplay.

■Improved Layout and Enhanced Graphics: Key clues and essential information for each puzzle is now viewable on one screen, and all graphics have been remastered in HD.
&nbsp;
＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝

What is &quot;LAYTON’S MYSTERY JOURNEY™: Katrielle and the Millionaires’ Conspiracy&quot;?
＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
■Intuitive and easy to play &quot;Mystery Solving Action Adventure&quot;: Progress through the story while walking around town, chatting with local residents looking for clues, and solving puzzles and mysteries with the heroine, Katrielle Layton!

■Comical puzzle-solving story composed of adventure and rich animation: Players can experience distinctive Layton aesthetics with in-game high quality animation.

■Original puzzles: &quot;LAYTON’S MYSTERY JOURNEY™: Katrielle and the Millionaires’ Conspiracy&quot; includes new, original puzzles that have been created exclusively for this game.

■Largest Puzzle Collection: &quot;LAYTON’S MYSTERY JOURNEY™: Katrielle and the Millionaires’ Conspiracy&quot; includes the largest assortment of puzzles of any LAYTON series title to date.

■Character Customization: Fashion-conscious players can dress Katrielle in various outfits to suit the case at hand as well as redecorate the agency.",LAYTON’S MYSTERY JOURNEY: Katrielle and the Millionaires’ Conspiracy Deluxe Edition,/games/detail/laytons-mystery-journey-katrielle-and-the-millionaires-conspiracy-deluxe-edition-switch,,1 player,beeb4355-d1ee-36eb-81c1-bedb82e71cbe,na,False,laytons-mystery-journey-katrielle-and-the-millionaires-conspiracy-deluxe-edition-switch
6,"'Pre-purchase', 'Coming soon'","'Action', 'Adventure'",True,'At retail',"'4+', '3+', '2+', '1+'",'Mario',"Luigi embarks on a dream vacation with Mario and friends upon receiving an invitation to a luxurious hotel. However, his dream quickly becomes a nightmare when King Boo reveals everything had been a ploy to capture Mario and friends. With the assistance of Professor E. Gadd once again, the reluctant and cowardly hero Luigi traverses up and down treacherous floors of the now-ominous hotel on a quest to save them.
Wield the upgraded Poltergust G-00 to slam and blow away the ghosts’ defenses, or summon Gooigi, an all-green doppelganger that can help Luigi overcome obstacles he can’t get past alone. Interchange between Luigi and Gooigi as one player, or grab a friend and control one each. For more frenetic multiplayer action, race the timer to clear various objectives on a series of floors in ScareScraper mode. ScareScraper mode can be played online* or locally with up to eight players on four Nintendo Switch systems (additional games required; sold separately).
Features

He may still be cowardly, but Luigi has more tools and abilities at his disposal than ever before. Master Luigi’s new powerful moves of Slam, Suction Shot and Burst
Team up with Professor E. Gadd’s latest invention, Gooigi, an all-green doppelganger able to slip through tight spaces, walk on spikes, and otherwise help Luigi overcome obstacles he can’t get past alone
Interchange between Luigi and Gooigi as one player, or grab a friend and control one each at the same time
Explore the Last Resort, ascending through its differently themed floors full of quirky contraptions and haunting enemies
Race the timer with up to 8 players** to clear objectives on a series of floors in the ScareScraper",Luigi’s Mansion 3,/games/detail/luigis-mansion-3-switch,'DLC available',up to 8 players,9c174778-a808-330e-b3e8-1ef25632298e,na,False,luigis-mansion-3-switch
7,'Coming soon',"'Sports', 'Practical', 'Training'",True,'At retail',,,"Traverse grass-swept plains by jogging in place, attack enemies with overhead shoulder presses, and refill your health meter by striking some yoga poses. Two new accessories, the Ring-Con™ and Leg Strap, measure your real-world actions and help turn them into in-game movements. With additional minigames and customizable workout routines, Ring Fit Adventure is great escape for players of all skill levels and schedules.
In Adventure mode, defeat enemies with attacks based on real-world exercises as you traverse more than 100 levels in over 20 worlds. As you work through each level (and possibly work up a sweat), you’ll earn experience points. Between fights, you may encounter some unusual methods of transportation such as squat-powered launch pads. Then, pass around the Ring-Con and leg strap accessories and select from a few minigames: break boxes with gusts of air, craft pottery using squats, and more.

Explore a huge fantasy world and defeat enemies using real-life exercise
Jog, Sprint, and high knee through over 100 levels in more than 20 worlds
Control in-game movements with the new Ring-Con™ and Leg Strap accessories
Play a long-form adventure or shorter minigames suitable for most skill levels and schedules
Check your estimated pulse rate with the built-in IR Motion Sensor",Ring Fit Adventure,/games/detail/ring-fit-adventure-switch,'Online Play via Nintendo Switch Online',1 player,f508f21d-3e24-306c-be30-e3f5995761c4,na,False,ring-fit-adventure-switch
8,"'New releases', 'Available now'",'Role-Playing',True,'At retail',,,"With a ragtag band of adventurers, you’ll engage in well-balanced, turn-based battles and embark on quests across the kingdom of Erdrea. Forge gear, develop party members’ skills, and alter their outfits without changing gear in this edition of the game! This version also lets you ride and attack with monsters on the field to earn experience points, as well as change between HD or 16-bit visuals, symphonic or synth music, and English or Japanese audio. Complete the tale with new character-focused stories, and travel to past DRAGON QUEST worlds!
Across the land, you’ll meet the mysterious Tockles—creatures that allow you to visit 2D, 16-bit versions of areas from popular entries in the series like DRAGON QUEST IV and DRAGON QUEST VIII! It’s fun to see these classic worlds reimagined in retro style, meshing perfectly with the main game’s 2D mode. Like all past DRAGON QUEST games, this one’s character designs are based on the signature style of famed artist Akira Toriyama. Paired with the voiced dialogue, the rich personalities of your most loyal companions and fiercest enemies are brought to life, so you can fully immerse yourself in this quest to discover the Luminary’s true heritage and awaken your power. For a greater challenge, start the game with the Draconian Quest setting, and capture your favorite moments with Photo Mode!

A sprawling RPG with the most impressive scope in the DRAGON QUEST® series
Complete the tale with new character-based stories that offer additional background
Travel to past DRAGON QUEST® worlds, wear outfits without changing gear, and ride and attack with monsters!
Change between HD or 16-bit graphics, synthesized or symphonic music, and English or Japanese voices
Wage turn-based battles against monsters and bosses by commanding a party of adventurers
Strategically combine your party members’ moves into special attacks with the Pep System
Complete side-quests and mini-games while exploring the expansive terrains and cities of Erdrea
The Draconian Quest difficulty setting offers an even greater challenge
Snap shots of your favorite moments with Photo Mode",DRAGON QUEST XI S: Echoes of an Elusive Age - Definitive Edition,/games/detail/dragon-quest-xi-s-echoes-of-an-elusive-age-definitive-edition-switch,"'DLC available', 'Demo available'",1 player,8988d004-9ba6-3a1e-ba75-43953e485b2d,na,False,dragon-quest-xi-s-echoes-of-an-elusive-age-definitive-edition-switch
9,"'New releases', 'Available now'","'Action', 'Adventure'",True,'At retail',,"'Mario', 'Zelda'","A special edition called The Legend of Zelda: Link's Awakening: Dreamer Edition will include the game and a Dreamer Art Book that features concept art from the Nintendo Switch version of the game.
Link has washed ashore on a mysterious island with strange and colorful inhabitants. To escape the island, Link must collect magical instruments across the land and awaken the Wind Fish. Explore a reimagined Koholint Island that’s been faithfully rebuilt in a brand-new art style that will entice fans and newcomers alike. Battle enemies as you conquer numerous dungeons and uncover the hidden secrets of the island. Encounter Super Mario enemies like Goombas, Piranha Plants, and more, and interact with unique locals who help Link on his adventure. As you clear dungeons throughout the main story, earn dungeon rooms (Chambers), then arrange them into custom layouts in the all-new Chamber Dungeon. Place your dungeon entrance, Nightmare room, and everything in between as you try to fulfill objectives and play through a new dungeon. Tap compatible amiibo figures to earn more Chambers and and additional Chambers throughout the game in updated mini-games, such as the river rapids, trendy game, and fishing.
FEATURES:

As Link, explore a reimagined Koholint Island and collect instruments to awaken the Wind Fish to find a way home
Explore numerous dungeons, riddled with tricks, traps, and enemies, including some from the&nbsp;Super Mario&nbsp;series
Meet and interact with unique locals to get help on your adventure
Listen to a reawakened soundtrack that helps bring life to Koholint Island
Earn Chambers (Dungeon Rooms) and arrange them to complete objectives in the all-new Chamber Dungeon.
Complete dungeons throughout the story to earn their rooms for the Chamber Dungeon.
Earn additional chambers in mini-games and by tapping any amiibo figure featuring a&nbsp;Legend of Zelda&nbsp;character.",The Legend of Zelda: Link's Awakening: Dreamer Edition,/games/detail/the-legend-of-zelda-links-awakening-dreamer-edition-switch,,1 player,cb41c0f0-73f6-3dbf-91cc-1f8f021a4edb,na,False,the-legend-of-zelda-links-awakening-dreamer-edition-switch
